,reward
617,-88.8
618,-108.0
619,-131.6
620,-123.2
621,-131.6
622,-115.6
623,-119.2
624,-131.6
625,-126.8
626,-105.6
627,-104.4
628,-127.2
629,-131.6
630,-113.2
631,-131.6
632,-77.6
633,-131.6
634,-91.6
635,-131.6
636,-127.6
637,-126.0
638,-131.6
639,-131.6
640,-127.6
641,-114.4
642,-127.6
643,-88.8
644,-108.4
645,-131.6
646,-131.6
647,-103.2
648,-131.6
649,-92.0
650,-142.0
651,-123.2
652,-140.0
653,-131.6
654,-131.6
655,-63.2
656,-101.2
657,-22.8
658,-126.8
659,-122.8
660,-126.8
661,-131.6
662,-115.6
663,-118.0
664,-45.2
665,-68.4
666,-131.6
667,-79.2
668,-93.6
669,-158.0
670,-131.6
671,-127.6
672,-131.6
673,-110.8
674,-98.0
675,-131.6
676,-69.6
677,-92.4
678,-94.0
679,-126.8
680,-131.6
681,-131.6
682,-131.6
683,-131.6
684,-131.6
685,-127.6
686,-93.6
687,-113.2
688,-118.0
689,-131.6
690,-85.6
691,-131.6
692,-88.8
693,-104.8
694,-123.2
695,-131.6
696,-131.6
697,-131.6
698,-131.6
699,-122.4
700,-131.6
701,-131.6
702,-131.6
703,-98.0
704,-105.6
705,-131.6
706,-88.8
707,-131.6
708,-131.6
709,-131.6
710,-131.6
711,-107.6
712,-88.8
713,-88.8
714,-93.6
715,-122.4
716,-131.6
717,-110.0
718,-79.2
719,-116.0
720,-117.2
721,-93.6
722,-131.6
723,-88.8
724,-123.2
725,-131.6
726,-65.6
727,-131.6
728,-94.0
729,-93.6
730,-92.0
731,-131.6
732,-131.6
733,-116.4
734,-72.8
735,-108.8
736,-118.4
737,-131.6
738,-131.6
739,-131.6
740,-131.6
741,-131.6
742,-131.6
743,-74.4
744,-121.6
745,-131.6
746,-122.8
747,-88.8
748,-114.4
749,-65.6
750,-111.2
751,-95.6
752,-131.6
753,-123.2
754,-131.6
755,-108.4
756,-118.8
757,-131.6
758,-123.2
759,-75.2
760,-131.6
761,-150.4
762,-131.6
763,-92.4
764,-103.2
765,-131.6
766,-92.4
767,-131.6
768,-131.6
769,-160.0
770,-90.4
771,-131.6
772,-131.6
773,-131.6
774,-131.6
775,-92.4
776,-128.4
777,-91.6
778,-131.6
779,-90.4
780,-127.2
781,-131.2
782,-111.2
783,-131.6
784,-127.2
785,-118.0
786,-131.6
787,-65.2
788,-127.2
789,-162.0
790,-130.8
791,-127.2
792,-131.6
793,-120.8
794,-131.6
795,-123.2
796,-122.8
797,-131.6
798,-79.2
799,-122.4
800,-131.6
801,-131.6
802,-136.8
803,-131.6
804,-127.2
805,-92.4
806,-110.8
807,-131.6
808,-118.8
809,-56.8
810,-79.6
811,-131.6
812,-131.6
813,-98.0
814,-122.4
815,-116.8
816,-92.4
817,-123.2
818,-122.4
819,-120.8
820,-122.8
821,-50.8
822,-131.6
823,-131.6
824,-93.6
825,-134.0
826,-68.4
827,-131.6
828,-126.8
829,-122.4
830,-131.6
831,-131.6
832,-131.6
833,-112.8
834,-104.8
835,-104.8
836,-131.6
837,-125.2
838,-131.6
839,-122.4
840,-88.8
841,-131.6
842,-107.2
843,-131.6
844,-58.0
845,-83.6
846,-131.6
847,-131.6
848,-98.4
849,-51.2
850,-22.8
851,-127.6
852,-131.6
853,-131.6
854,-131.6
855,-118.0
856,-118.8
857,-83.6
858,-131.6
859,-90.0
860,-131.6
861,-131.6
862,-131.6
863,-122.8
864,-131.6
