,reward
1052,-103.2
1053,-62.8
1054,-71.2
1055,-58.4
1056,-54.0
1057,-96.0
1058,-46.0
1059,-18.8
1060,-66.8
1061,-53.6
1062,-91.6
1063,-60.0
1064,-60.8
1065,-71.2
1066,-41.6
1067,-59.2
1068,-76.0
1069,-72.8
1070,-142.0
1071,-35.2
1072,-82.8
1073,-58.4
1074,-74.0
1075,-63.6
1076,-58.0
1077,-80.0
1078,-66.0
1079,-53.2
1080,-46.0
1081,-48.4
1082,-62.0
1083,-59.2
1084,-64.8
1085,-65.2
1086,-52.8
1087,-67.2
1088,-89.2
1089,-94.8
1090,-89.2
1091,-56.0
1092,-70.8
1093,-50.4
1094,-93.6
1095,-42.0
1096,-28.0
1097,-61.6
1098,-28.4
1099,-12.4
1100,-26.0
1101,-49.2
1102,-80.4
1103,-55.2
1104,-58.4
1105,-61.2
1106,-88.8
1107,-60.8
1108,-78.4
1109,-65.2
1110,-69.6
1111,-79.2
1112,-52.0
1113,-80.4
1114,-76.8
1115,-68.4
1116,-98.0
1117,-94.4
1118,-70.0
1119,-68.0
1120,-47.6
1121,-80.0
1122,-37.6
1123,-84.8
1124,-97.2
1125,-53.6
1126,-91.6
1127,-100.4
1128,-90.8
1129,-33.2
1130,-68.4
1131,-80.0
1132,-55.2
1133,-100.4
1134,-53.2
1135,-53.6
1136,-61.2
1137,-53.2
1138,-138.8
1139,-56.0
1140,-56.8
1141,-121.6
1142,-71.6
1143,-144.4
1144,-103.2
1145,-48.8
1146,-76.0
1147,-67.2
1148,-59.2
1149,-65.2
1150,-46.8
1151,-76.0
1152,-98.8
1153,-70.4
1154,-53.6
1155,-77.2
1156,-52.8
1157,-57.2
1158,-49.2
1159,-86.4
1160,-54.0
1161,-38.8
1162,-42.4
1163,-76.0
1164,-58.0
1165,-72.0
1166,-75.6
1167,-75.6
1168,-53.6
1169,-58.4
1170,-105.6
1171,-33.6
1172,-63.6
1173,-82.0
1174,-53.2
1175,-64.0
1176,-136.4
1177,-57.2
1178,-76.0
1179,-79.6
1180,-86.8
1181,-114.4
1182,-95.6
1183,-54.4
1184,-60.8
1185,-62.8
1186,-77.2
1187,-80.8
1188,-84.8
1189,-43.2
1190,-23.2
1191,-18.0
1192,-64.0
1193,-46.8
1194,-66.8
1195,-59.6
1196,-85.6
1197,-80.4
1198,-68.8
1199,-67.2
1200,-93.2
1201,-76.8
1202,-57.2
1203,-64.0
1204,-54.0
1205,-66.8
1206,-18.8
1207,-91.6
1208,-60.4
1209,-70.8
1210,-103.2
1211,-53.2
1212,-80.0
1213,-56.4
1214,-58.4
1215,-37.6
1216,-66.8
1217,-66.8
1218,-36.4
1219,-71.6
1220,-80.4
1221,-89.2
1222,-76.8
1223,-120.4
1224,-104.8
1225,-61.6
1226,-88.0
1227,-93.6
1228,-62.8
1229,-72.0
1230,-82.0
1231,-76.8
1232,-62.8
1233,-95.2
1234,-39.6
1235,-73.2
1236,-116.0
1237,-66.8
1238,-54.8
1239,-53.2
1240,-78.4
1241,-54.0
1242,-120.4
1243,-62.4
1244,-75.2
1245,-80.0
1246,-109.6
1247,-66.4
1248,-80.0
1249,-76.0
1250,-56.8
1251,-33.2
1252,-48.4
1253,-76.0
1254,-61.6
1255,-74.4
1256,-112.0
1257,-84.8
1258,-92.4
1259,-62.0
1260,-69.6
1261,-76.0
1262,-64.4
1263,-28.0
1264,-105.6
1265,-98.4
1266,-55.6
1267,-59.2
1268,-122.8
1269,-82.0
1270,-75.6
1271,-71.6
1272,-80.0
1273,-44.8
1274,-71.6
1275,-74.4
1276,-58.4
1277,-32.4
1278,-42.4
1279,-53.6
1280,-50.0
1281,-86.4
1282,-79.6
1283,-59.6
1284,-46.8
1285,-77.2
1286,-76.0
1287,-74.8
1288,-91.2
1289,-74.8
1290,-102.0
1291,-56.8
1292,-91.2
1293,-60.0
1294,-87.2
1295,-42.0
1296,-113.2
1297,-79.2
1298,-84.8
1299,-65.2
1300,-52.8
1301,-52.8
1302,-88.0
1303,-67.2
1304,-70.8
1305,-57.2
1306,-65.6
1307,-100.4
1308,-86.4
1309,-84.4
1310,-55.2
1311,-71.2
1312,-82.4
1313,-62.8
1314,-62.4
1315,-66.4
1316,-47.2
1317,-77.6
1318,-101.2
1319,-84.8
1320,-93.6
1321,-57.6
1322,-67.2
1323,-102.0
1324,-58.0
1325,-83.6
1326,-101.2
1327,-108.4
1328,-60.0
1329,-39.6
1330,-87.6
1331,-53.6
1332,-60.8
1333,-80.4
1334,-118.4
1335,-62.0
1336,-47.2
1337,-54.4
1338,-75.6
1339,-61.2
1340,-62.8
1341,-75.6
1342,-70.4
1343,-70.4
1344,-25.2
1345,-70.8
1346,-97.6
1347,-62.8
1348,-53.2
1349,-75.2
1350,-64.8
1351,-68.8
1352,-67.2
1353,-96.0
1354,-71.6
1355,-93.6
1356,-84.8
1357,-124.4
1358,-33.6
1359,-91.6
1360,-60.4
1361,-104.4
1362,-56.4
1363,-86.0
1364,-86.4
1365,-43.6
1366,-68.0
1367,-97.2
1368,-79.6
1369,-71.2
1370,-54.0
1371,-27.6
1372,-56.4
1373,-58.4
1374,-58.0
1375,-59.2
1376,-103.2
1377,-148.4
1378,-91.2
1379,-122.4
1380,-90.4
1381,-92.0
1382,-71.6
1383,-47.6
1384,-106.4
1385,-84.8
1386,-94.0
1387,-54.8
1388,-43.6
1389,-89.2
1390,-76.8
1391,-67.2
1392,-53.6
1393,-45.6
1394,-66.8
1395,-85.2
1396,-116.4
1397,-52.0
1398,-78.4
1399,-117.2
1400,-74.8
1401,-86.8
1402,-70.4
1403,-97.6
1404,-33.6
1405,-54.0
1406,-64.8
1407,-127.2
1408,-54.0
1409,-101.6
1410,-54.8
1411,-75.6
1412,-53.2
1413,-104.8
1414,-74.8
1415,-114.4
1416,-75.6
1417,-75.6
1418,-65.2
1419,-59.6
1420,-59.2
1421,-73.2
1422,-48.8
1423,-66.8
1424,47.5
1425,-114.8
1426,-64.4
1427,-68.0
1428,-71.6
1429,-93.6
1430,-113.6
1431,-75.2
1432,-104.4
1433,-58.4
1434,-95.2
1435,-97.6
1436,-128.4
1437,-41.6
1438,-3.2
1439,-81.2
1440,-73.2
1441,-76.0
1442,-76.0
1443,-10.8
1444,-122.4
1445,-106.4
1446,-97.2
1447,-91.6
1448,-75.2
1449,-117.2
1450,-65.6
1451,-2.4
1452,-84.0
1453,-67.2
1454,-88.8
1455,-68.4
1456,-59.2
1457,-54.8
1458,-60.8
1459,-70.8
1460,-67.2
1461,-80.0
1462,-77.2
1463,-84.4
1464,-91.6
1465,-58.4
1466,-50.8
